SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
TAFT ELEMENTARY SCHOOL,9800 E QUARTERLINE RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,69,91.3%,4.3%,98.6%,94.2%,4.3%,98.6%,94.2%,4.3%,98.6%,97.1%,1.4%,100.0%,98.6%,1.4%,100.0%,5.8%,0.0%,0.0%
TANQUE  VERDE LUTHERAN CHURCH PRESCHOOL & KINDERGARTEN,8625 E TANQUE VERDE RD,TUCSON,PIMA,85749,NO,,PRIVATE,<20,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,64.3%,35.7%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,35.7%,0.0%,0.0%
TANQUE VERDE ELEMENTARY SCHOOL,2600 N FENNIMORE AVE,TUCSON,PIMA,85749,YES,RN,PUBLIC,64,96.9%,3.1%,100.0%,98.4%,1.6%,100.0%,95.3%,3.1%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,3.1%,1.6%,1.6%
TARTESSO ELEMENTARY SCHOOL,29677 W INDIANOLA RD,BUCKEYE,MARICOPA,85322,YES,Both,PUBLIC,59,88.1%,3.4%,93.2%,89.8%,3.4%,93.2%,89.8%,3.4%,93.2%,96.6%,1.7%,98.3%,96.6%,1.7%,98.3%,6.8%,0.0%,1.7%
TAVAN ELEMENTARY SCHOOL,4610 E OSBORN RD,PHOENIX,MARICOPA,85018,YES,RN,PUBLIC,98,94.9%,5.1%,100.0%,95.9%,4.1%,100.0%,92.9%,7.1%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,9.2%,0.0%,1.0%
TAYLOR ELEMENTARY SCHOOL,20 S 300 EAST,TAYLOR,NAVAJO,85939,NO,,PUBLIC,62,72.6%,24.2%,100.0%,75.8%,24.2%,100.0%,75.8%,24.2%,100.0%,75.8%,24.2%,100.0%,75.8%,24.2%,100.0%,24.2%,0.0%,14.5%
TAYLOR HICKS SCHOOL,1845 CAMPBELL AVE,PRESCOTT,YAVAPAI,86301,YES,RN,PUBLIC,64,85.9%,14.1%,100.0%,85.9%,14.1%,100.0%,85.9%,14.1%,100.0%,85.9%,14.1%,100.0%,85.9%,14.1%,100.0%,14.1%,0.0%,14.1%
TELESIS PREPARATORY ACADEMY,2598 STARLITE LN,LAKE HAVASU CITY,MOHAVE,86403,NO,,CHARTER,22,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,18.2%,0.0%,18.2%
TERRAMAR ELEMENTARY,7000 W HAPPY VALLEY RD,PEORIA,MARICOPA,85383,YES,RN,PUBLIC,69,92.8%,5.8%,100.0%,91.3%,5.8%,100.0%,92.8%,5.8%,100.0%,91.3%,8.7%,100.0%,98.6%,1.4%,100.0%,8.7%,0.0%,5.8%
TERRITORIAL EARLY CHILDHOOD CENTER,1088 MAHAN LANE,CHINO VALLEY,YAVAPAI,86323,NO,,PUBLIC,140,70.0%,11.4%,81.4%,70.7%,11.4%,82.1%,72.1%,11.4%,83.6%,85.0%,11.4%,96.4%,84.3%,11.4%,95.7%,11.4%,0.0%,8.6%
THE CREIGHTON ACADEMY,2802 E MCDOWELL RD,PHOENIX,MARICOPA,85008,YES,LPN,PUBLIC,65,89.2%,0.0%,89.2%,89.2%,0.0%,89.2%,89.2%,0.0%,89.2%,89.2%,0.0%,89.2%,89.2%,0.0%,89.2%,0.0%,0.0%,0.0%
THE FAMILY SCHOOL,1127 W MCDOWELL RD,PHOENIX,MARICOPA,85007,NO,,PRIVATE,<20,71.4%,21.4%,92.9%,78.6%,21.4%,100.0%,71.4%,21.4%,92.9%,71.4%,21.4%,92.9%,71.4%,21.4%,92.9%,21.4%,21.4%,21.4%
THE PAIDEIA ACADEMY OF SOUTH PHOENIX,7777 S 15TH TER,PHOENIX,MARICOPA,85042,NO,,CHARTER,75,92.0%,0.0%,93.3%,96.0%,0.0%,97.3%,88.0%,0.0%,90.7%,98.7%,0.0%,100.0%,97.3%,0.0%,97.3%,0.0%,0.0%,0.0%
THOMAS A EDISON SCHOOL,804 N 18TH ST,PHOENIX,MARICOPA,85006,YES,RN,PUBLIC,42,90.5%,2.4%,97.6%,95.2%,2.4%,97.6%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,2.4%,0.0%,2.4%
THOMAS M KNOLES ELEMENTARY SCHOOL,4005 E BUTLER AVE,FLAGSTAFF,COCONINO,86004,YES,RN,PUBLIC,50,90.0%,10.0%,100.0%,90.0%,10.0%,100.0%,94.0%,6.0%,100.0%,98.0%,2.0%,100.0%,100.0%,0.0%,100.0%,10.0%,0.0%,6.0%
THOMPSON RANCH ELEMENTARY,11800 W THOMPSON RANCH RD,EL MIRAGE,MARICOPA,85335,NO,,PUBLIC,76,92.1%,5.3%,100.0%,93.4%,5.3%,100.0%,93.4%,6.6%,100.0%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,6.6%,0.0%,5.3%
THUNDERBIRD CHRISTIAN ELEMENTARY,7440 E. SUTTON DRIVE,SCOTTSDALE,MARICOPA,85260,NO,,PRIVATE,<20,63.6%,27.3%,90.9%,63.6%,27.3%,90.9%,63.6%,27.3%,90.9%,63.6%,27.3%,90.9%,54.5%,0.0%,81.8%,45.5%,0.0%,27.3%
TIERRA DEL SOL ELEMENTARY SCHOOL,16551 S SOMERTON AVE,SOMERTON,YUMA,85350,YES,RN,PUBLIC,54,94.4%,0.0%,94.4%,96.3%,0.0%,96.3%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
TOLSON ELEMENTARY SCHOOL,1000 S GREASEWOOD RD,TUCSON,PIMA,85745,YES,LPN,PUBLIC,44,90.9%,0.0%,90.9%,88.6%,0.0%,88.6%,88.6%,0.0%,88.6%,97.7%,0.0%,97.7%,97.7%,0.0%,97.7%,0.0%,0.0%,0.0%
TOLTEC ELEMENTARY  SCHOOL,3315 N TOLTEC RD,ELOY,PINAL,85131,NO,,PUBLIC,40,87.5%,0.0%,90.0%,92.5%,0.0%,95.0%,92.5%,0.0%,92.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
TOMAHAWK ELEMENTARY SCHOOL,7820 W TURNEY AVE,PHOENIX,MARICOPA,85033,YES,LPN,PUBLIC,97,95.9%,0.0%,100.0%,96.9%,0.0%,100.0%,96.9%,0.0%,100.0%,96.9%,0.0%,100.0%,99.0%,0.0%,99.0%,0.0%,0.0%,0.0%
TOPOCK ELEMENTARY SCHOOL,5083 TULE DR,TOPOCK,MOHAVE,86436,NO,,PUBLIC,<20,42.9%,14.3%,92.9%,42.9%,14.3%,92.9%,35.7%,14.3%,92.9%,78.6%,14.3%,92.9%,78.6%,14.3%,92.9%,21.4%,0.0%,14.3%
TOWN & COUNTRY ELEMENTARY SCHOOL,1313 S LENZNER AVE,SIERRA VISTA,COCHISE,85635,YES,RN,PUBLIC,41,92.7%,7.3%,100.0%,92.7%,7.3%,100.0%,92.7%,7.3%,100.0%,92.7%,7.3%,100.0%,92.7%,7.3%,100.0%,7.3%,0.0%,7.3%
TOWNE MEADOWS ELEMENTARY SCHOOL,1101 N RECKER RD,HIGLEY,MARICOPA,85234,NO,,PUBLIC,67,83.6%,11.9%,100.0%,83.6%,10.4%,100.0%,86.6%,10.4%,100.0%,91.0%,6.0%,100.0%,95.5%,4.5%,100.0%,10.4%,0.0%,9.0%
