SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
DESERT VALLEY ELEMENTARY SCHOOL - 85304,12901 N 63RD AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,42,92.9%,2.4%,95.2%,90.5%,2.4%,92.9%,90.5%,2.4%,92.9%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,2.4%,0.0%,2.4%
DESERT VIEW ACADEMY,3777 W 16TH ST,YUMA,YUMA,85364,NO,,CHARTER,162,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,96.3%,3.7%,100.0%,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,3.7%,0.0%,0.0%
DESERT VIEW ELEMENTARY - SAN LUIS,1508 N 10TH AVE,SAN LUIS,YUMA,85349,NO,,PUBLIC,99,100.0%,0.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,100.0%,0.0%,100.0%,2.0%,0.0%,2.0%
DESERT VIEW ELEMENTARY SCHOOL - PHOENIX,8621 N 3RD ST,PHOENIX,MARICOPA,85020,YES,RN,PUBLIC,44,95.5%,0.0%,100.0%,97.7%,0.0%,100.0%,93.2%,0.0%,100.0%,97.7%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DESERT VIEW LEARNING CENTER,4027 E LINCOLN DR,PARADISE VALLEY,MARICOPA,85253,NO,,PRIVATE,<20,88.9%,11.1%,100.0%,88.9%,11.1%,100.0%,83.3%,16.7%,100.0%,83.3%,16.7%,100.0%,88.9%,11.1%,100.0%,16.7%,0.0%,11.1%
DESERT VISTA ELEMENTARY SCHOOL,3701 E BROADWAY AVE,APACHE JUNCTION,PINAL,85119,YES,RN,PUBLIC,65,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,9.2%,0.0%,9.2%
DESERT WILLOW ELEMENTARY SCHOOL - CASA GRANDE,2172N ARIZOLA RD,CASA GRANDE,PINAL,85122,NO,,PUBLIC,71,93.0%,2.8%,100.0%,94.4%,4.2%,100.0%,95.8%,4.2%,100.0%,97.2%,1.4%,100.0%,95.8%,4.2%,100.0%,4.2%,0.0%,4.2%
DESERT WILLOW ELEMENTARY SCHOOL - CAVE CREEK,4322 E DESERT WILLOW PKWY,CAVE CREEK,MARICOPA,85331,NO,,PUBLIC,40,90.0%,10.0%,100.0%,90.0%,10.0%,100.0%,90.0%,10.0%,100.0%,90.0%,10.0%,100.0%,90.0%,10.0%,100.0%,10.0%,0.0%,10.0%
DESERT WILLOW ELEMENTARY SCHOOL - KINGMAN,3700 PROSPECTOR ST,KINGMAN,MOHAVE,86401,NO,,PUBLIC,60,70.0%,15.0%,86.7%,73.3%,15.0%,90.0%,73.3%,15.0%,90.0%,86.7%,10.0%,96.7%,86.7%,10.0%,96.7%,15.0%,0.0%,15.0%
DESERT WILLOW ELEMENTARY SCHOOL - TUCSON,9400 E ESMOND LOOP,TUCSON,PIMA,85747,NO,,PUBLIC,123,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,3.3%,0.0%,3.3%
DESTINY SCHOOL,22 PRICKLY PEAR DR,GLOBE,GILA,85501,NO,,CHARTER,44,88.6%,11.4%,100.0%,88.6%,11.4%,100.0%,86.4%,13.6%,100.0%,88.6%,11.4%,100.0%,88.6%,11.4%,100.0%,13.6%,0.0%,11.4%
DIAMOND CANYON ELEMENTARY,40004 NORTH LIBERTY BELL WAY,PHOENIX,MARICOPA,85086,YES,RN,PUBLIC,55,85.5%,10.9%,96.4%,81.8%,12.7%,94.5%,83.6%,14.5%,98.2%,85.5%,9.1%,94.5%,90.9%,9.1%,100.0%,14.5%,0.0%,9.1%
DIAMONDBACK ELEMENTARY SCHOOL,2550 TESOTA WAY,BULLHEAD CITY,MOHAVE,86442,NO,,PUBLIC,69,81.2%,5.8%,94.2%,84.1%,4.3%,95.7%,89.9%,5.8%,95.7%,91.3%,5.8%,97.1%,91.3%,4.3%,97.1%,5.8%,0.0%,4.3%
DIETZ K-8 SCHOOL,7575 E PALMA ST,TUCSON,PIMA,85710,YES,LPN,PUBLIC,23,91.3%,0.0%,100.0%,91.3%,0.0%,100.0%,100.0%,0.0%,100.0%,95.7%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MESA,MARICOPA,85208,YES,RN,PUBLIC,54,85.2%,11.1%,100.0%,87.0%,11.1%,98.1%,85.2%,14.8%,100.0%,88.9%,9.3%,100.0%,92.6%,7.4%,100.0%,14.8%,1.9%,7.4%
DISCOVERY PLUS ACADEMY,852 W 250 N,PIMA,GRAHAM,85543,NO,,CHARTER,20,75.0%,15.0%,100.0%,80.0%,15.0%,100.0%,80.0%,15.0%,100.0%,80.0%,15.0%,100.0%,80.0%,15.0%,95.0%,15.0%,0.0%,15.0%
DISCOVERY SCHOOL,7910 W MARYLAND AVE,GLENDALE,MARICOPA,85303,YES,LPN,PUBLIC,47,72.3%,4.3%,76.6%,44.7%,2.1%,46.8%,80.9%,4.3%,85.1%,78.7%,2.1%,80.9%,85.1%,2.1%,87.2%,4.3%,0.0%,2.1%
DOBSON MONTESSORI SCHOOL-85210,745 S EXTENSION RD,MESA,MARICOPA,85210,NO,,PRIVATE,<20,73.3%,26.7%,100.0%,73.3%,26.7%,100.0%,73.3%,26.7%,100.0%,73.3%,26.7%,100.0%,73.3%,26.7%,100.0%,26.7%,0.0%,26.7%
DOROTHY HALL ELEMENTARY,5777 E 45TH PLACE,YUMA,YUMA,85365,YES,RN,PUBLIC,89,95.5%,1.1%,96.6%,95.5%,1.1%,96.6%,94.4%,1.1%,95.5%,97.8%,1.1%,98.9%,98.9%,1.1%,100.0%,1.1%,0.0%,1.1%
DOROTHY STINSON SCHOOL,2013 S 8TH AVE,SAFFORD,GRAHAM,85546,YES,RN,PUBLIC,69,92.8%,2.9%,97.1%,94.2%,2.9%,97.1%,94.2%,2.9%,97.1%,95.7%,2.9%,98.6%,97.1%,2.9%,100.0%,2.9%,0.0%,2.9%
DOS RIOS ELEMENTARY,2150 S 87TH AVE,TOLLESON,MARICOPA,85353,NO,,PUBLIC,67,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DOVE MOUNTAIN K-8,5650 W MOORE RD,MARANA,PIMA,85658,NO,,PUBLIC,93,94.6%,1.1%,96.8%,94.6%,1.1%,96.8%,93.5%,2.2%,96.8%,94.6%,1.1%,96.8%,97.8%,0.0%,97.8%,3.2%,1.1%,0.0%
DR DANIEL BRIGHT ELEMENTARY SCHOOL,1500 S MONTE TESORO DR,COTTONWOOD,YAVAPAI,86326,NO,,PUBLIC,64,70.3%,29.7%,100.0%,73.4%,26.6%,100.0%,73.4%,26.6%,100.0%,82.8%,17.2%,100.0%,100.0%,0.0%,100.0%,34.4%,0.0%,4.7%
DR HOWARD K CONLEY ELEMENTARY SCHOOL,500 S ARROWHEAD DR,CHANDLER,MARICOPA,85224,NO,,PUBLIC,93,89.2%,4.3%,96.8%,90.3%,4.3%,96.8%,92.5%,4.3%,96.8%,94.6%,3.2%,98.9%,95.7%,3.2%,98.9%,4.3%,0.0%,3.2%
DR. CHARLES A. BEJARANO ELEMENTARY SCHOOL,4635 E RAGUS RD B,MIAMI,GILA,85539,NO,,PUBLIC,48,93.8%,2.1%,95.8%,95.8%,2.1%,97.9%,91.7%,2.1%,93.8%,95.8%,2.1%,97.9%,97.9%,0.0%,97.9%,2.1%,0.0%,0.0%
DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,22700 S POWER RD,QUEEN CREEK,MARICOPA,85142,NO,,PUBLIC,48,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,12.5%,12.5%,0.0%
DRACHMAN PRIMARY MAGNET SCHOOL,1085 S 10TH AVE,TUCSON,PIMA,85701,YES,RN,PUBLIC,36,91.7%,5.6%,100.0%,97.2%,0.0%,100.0%,94.4%,5.6%,100.0%,97.2%,0.0%,100.0%,97.2%,0.0%,100.0%,2.8%,2.8%,0.0%
DREAM CITY CHRISTIAN SCHOOLS,21000 N 75TH AVE,GLENDALE,MARICOPA,85308,YES,RN,PRIVATE,62,69.4%,30.6%,100.0%,64.5%,33.9%,98.4%,69.4%,29.0%,100.0%,66.1%,33.9%,100.0%,67.7%,32.3%,100.0%,35.5%,0.0%,29.0%
DREAMING SUMMIT ELEMENTARY,13335 W MISSOURI AVE,LITCHFIELD PARK,MARICOPA,85340,YES,RN,PUBLIC,90,80.0%,2.2%,82.2%,80.0%,2.2%,82.2%,80.0%,2.2%,82.2%,87.8%,0.0%,87.8%,98.9%,1.1%,100.0%,4.4%,2.2%,2.2%
DREXEL ELEMENTARY SCHOOL,801 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,65,90.8%,0.0%,93.8%,98.5%,0.0%,98.5%,92.3%,0.0%,92.3%,98.5%,0.0%,98.5%,98.5%,0.0%,98.5%,0.0%,0.0%,0.0%
DUNCAN ELEMENTARY SCHOOL,MCGRATH AVE,DUNCAN,GREENLEE,85534,NO,,PUBLIC,23,87.0%,13.0%,100.0%,87.0%,13.0%,100.0%,87.0%,13.0%,100.0%,91.3%,8.7%,100.0%,91.3%,8.7%,100.0%,13.0%,0.0%,13.0%
DUNHAM ELEMENTARY SCHOOL,9850 E 29TH ST,TUCSON,PIMA,85748,YES,RN,PUBLIC,24,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,91.7%,4.2%,95.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,4.2%,0.0%,0.0%
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,RN,PUBLIC,102,89.2%,7.8%,97.1%,89.2%,7.8%,97.1%,91.2%,7.8%,99.0%,92.2%,6.9%,100.0%,94.1%,5.9%,100.0%,7.8%,0.0%,4.9%
E C NASH SCHOOL,515 W KELSO ST,TUCSON,PIMA,85705,NO,,PUBLIC,44,95.5%,2.3%,97.7%,90.9%,2.3%,93.2%,90.9%,2.3%,93.2%,95.5%,2.3%,97.7%,95.5%,2.3%,97.7%,2.3%,0.0%,2.3%
EAGLE COLLEGE PREP - MARYVALE,3950 N 53RD AVE,PHOENIX,MARICOPA,85031,NO,,CHARTER,43,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
EAGLE COLLEGE PREP - MESA,1619 E MAIN ST,MESA,MARICOPA,85203,NO,,CHARTER,22,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,90.9%,0.0%,9.1%
EAGLE COLLEGE PREP - S MOUNTAIN,2450 W SOUTH MOUNTAIN AVE,PHOENIX,MARICOPA,85041,NO,,CHARTER,57,86.0%,8.8%,94.7%,82.5%,7.0%,91.2%,87.7%,1.8%,94.7%,87.7%,1.8%,96.5%,91.2%,1.8%,98.2%,1.8%,14.0%,1.8%
EAGLE RIDGE ELEMENTARY SCHOOL - PHONEIX,19801 N 13TH ST,PHOENIX,MARICOPA,85024,YES,RN,PUBLIC,51,86.3%,0.0%,100.0%,86.3%,0.0%,100.0%,88.2%,0.0%,100.0%,90.2%,0.0%,100.0%,92.2%,0.0%,92.2%,0.0%,0.0%,0.0%
EAGLERIDGE ENRICHMENT PROGRAM - MESA,1313 W MEDINA AVE,MESA,MARICOPA,85202,NO,RN,PUBLIC,61,54.1%,41.0%,95.1%,57.4%,37.7%,95.1%,55.7%,39.3%,95.1%,62.3%,32.8%,95.1%,96.7%,0.0%,96.7%,41.0%,0.0%,29.5%
ECHO CANYON K-8 - SCOTTSDALE,4330 NORTH 62ND STREET,SCOTTSDALE,MARICOPA,85251,YES,RN,PUBLIC,28,92.9%,0.0%,92.9%,92.9%,0.0%,92.9%,92.9%,0.0%,92.9%,96.4%,0.0%,96.4%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ED & VERMA PASTOR ELEMENTARY SCHOOL,2101 W ALTA VISTA RD,PHOENIX,MARICOPA,85041,YES,LPN,PUBLIC,50,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,2.0%,0.0%,2.0%
ED PASTOR ELEMENTARY 4,985 N 6TH AVE,SAN LUIS,YUMA,85349,NO,,PUBLIC,88,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
EDISON ELEMENTARY SCHOOL,545 N HORNE,MESA,MARICOPA,85203,YES,RN,PUBLIC,74,94.6%,2.7%,100.0%,93.2%,2.7%,97.3%,95.9%,2.7%,98.6%,97.3%,1.4%,100.0%,98.6%,1.4%,100.0%,2.7%,0.0%,1.4%
EDISON SCHOOL OF INNOVATION,8340 W NORTHERN AVE,GLENDALE,MARICOPA,85305,NO,,CHARTER,34,88.2%,8.8%,100.0%,91.2%,8.8%,100.0%,91.2%,8.8%,100.0%,91.2%,8.8%,100.0%,91.2%,8.8%,100.0%,8.8%,0.0%,8.8%
EDUPRIZE SCHOOL - GILBERT,580 W MELODY DR,GILBERT,MARICOPA,85233,YES,RN,CHARTER,111,85.6%,13.5%,100.0%,84.7%,14.4%,100.0%,85.6%,14.4%,100.0%,88.3%,10.8%,100.0%,90.1%,9.0%,100.0%,14.4%,0.9%,6.3%
EDUPRIZE SCHOOL - QUEEN CREEK,4567 W ROBERTS RD,QUEEN CREEK,PINAL,85142,YES,RN,CHARTER,220,81.4%,17.3%,99.5%,80.9%,17.7%,99.5%,82.7%,15.9%,98.6%,86.8%,11.8%,98.6%,91.4%,8.6%,100.0%,17.3%,0.5%,7.7%
EISENHOWER ELEMENTARY SCHOOL,848 N MESA DR,MESA,MARICOPA,85201,YES,RN,PUBLIC,51,94.1%,3.9%,98.0%,94.1%,3.9%,98.0%,92.2%,3.9%,96.1%,94.1%,3.9%,98.0%,100.0%,0.0%,100.0%,3.9%,0.0%,3.9%
EL CAPITAN PUBLIC SCHOOL,255 N COTTONWOOD ST,COLORADO CITY,MOHAVE,86021,YES,RN,PUBLIC,35,22.9%,62.9%,85.7%,22.9%,62.9%,85.7%,17.1%,62.9%,80.0%,22.9%,62.9%,85.7%,22.9%,62.9%,85.7%,62.9%,0.0%,62.9%
EL MIRAGE ELEMENTARY SCHOOL,12308 W THUNDERBIRD RD,EL MIRAGE,MARICOPA,85335,NO,,PUBLIC,117,96.6%,2.6%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,97.4%,2.6%,100.0%,98.3%,1.7%,100.0%,3.4%,0.0%,2.6%
ELGIN ELEMENTARY SCHOOL,23 ELGIN ROAD,ELGIN,SANTA CRUZ,85611,YES,RN,PUBLIC,<20,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,90.9%,0.0%,90.9%,90.9%,9.1%,100.0%,9.1%,9.1%,0.0%
ELLSWORTH ELEMENTARY,38454 N CAROLINA AVE,QUEEN CREEK,PINAL,85140,NO,,PUBLIC,82,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,92.7%,4.9%,97.6%,95.1%,4.9%,100.0%,96.3%,3.7%,100.0%,7.3%,0.0%,2.4%
ELVIRA ELEMENTARY SCHOOL,250 W ELVIRA RD,TUCSON,PIMA,85756,YES,RN,PUBLIC,95,95.8%,3.2%,100.0%,95.8%,3.2%,100.0%,96.8%,3.2%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,3.2%,0.0%,1.1%
EMERSON ELEMENTARY SCHOOL,415 N WESTWOOD RD,MESA,MARICOPA,85201,YES,RN,PUBLIC,81,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,92.6%,4.9%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,4.9%,0.0%,3.7%
EMMANUEL CHRISTIAN ACADEMY,3120 HUALAPAI MOUNTAIN RD,KINGMAN,MOHAVE,86401,NO,,PRIVATE,36,55.6%,44.4%,100.0%,55.6%,44.4%,100.0%,55.6%,44.4%,100.0%,69.4%,30.6%,100.0%,72.2%,27.8%,100.0%,44.4%,0.0%,27.8%
EMMANUEL LUTHERAN SCHOOL,715 W SOUTHERN AVE,TEMPE,MARICOPA,85282,NO,,PRIVATE,<20,72.7%,18.2%,100.0%,72.7%,18.2%,100.0%,81.8%,18.2%,100.0%,90.9%,0.0%,100.0%,100.0%,0.0%,100.0%,18.2%,0.0%,0.0%
EMMAUS LUTHERAN SCHOOL,3841 W SWEETWATER AVE,PHOENIX,MARICOPA,85029,NO,,PRIVATE,<20,83.3%,16.7%,100.0%,83.3%,16.7%,100.0%,83.3%,16.7%,100.0%,91.7%,8.3%,100.0%,83.3%,16.7%,100.0%,16.7%,0.0%,8.3%
EMPOWER COLLEGE PREP,2411 W COLTER ST,PHOENIX,MARICOPA,85015,NO,,CHARTER,68,66.2%,0.0%,66.2%,57.4%,0.0%,57.4%,66.2%,0.0%,66.2%,73.5%,0.0%,73.5%,73.5%,0.0%,73.5%,0.0%,0.0%,0.0%
ENCANTO ELEMENTARY SCHOOL,1420 W OSBORN RD,PHOENIX,MARICOPA,85013,NO,,PUBLIC,143,89.5%,4.9%,99.3%,90.9%,4.9%,99.3%,92.3%,4.9%,99.3%,93.0%,4.9%,99.3%,94.4%,4.9%,99.3%,4.9%,0.0%,4.9%
ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,67,83.6%,16.4%,100.0%,88.1%,11.9%,100.0%,79.1%,20.9%,100.0%,83.6%,16.4%,100.0%,86.6%,13.4%,100.0%,20.9%,0.0%,9.0%
ESMOND STATION SCHOOL,9400 S ATTERBURY WASH WAY,TUCSON,PIMA,85747,NO,,PUBLIC,68,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.5%,0.0%,98.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ESPERANZA ELEMENTARY SCHOOL - 85706,2353 E BANTAM,TUCSON,PIMA,85706,YES,RN,PUBLIC,63,96.8%,1.6%,100.0%,96.8%,1.6%,100.0%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.6%,1.6%,0.0%
ESPERANZA ELEMENTARY SCHOOL-85009,3025 W MCDOWELL RD,PHOENIX,MARICOPA,85009,NO,,PUBLIC,63,93.7%,4.8%,100.0%,93.7%,4.8%,100.0%,95.2%,4.8%,100.0%,100.0%,0.0%,100.0%,98.4%,1.6%,100.0%,4.8%,0.0%,0.0%
ESPERANZA ELEMENTARY SCHOOL-85027,251 W MOHAWK LN,PHOENIX,MARICOPA,85027,YES,LPN,PUBLIC,64,95.3%,3.1%,98.4%,96.9%,3.1%,100.0%,93.8%,3.1%,98.4%,96.9%,0.0%,98.4%,98.4%,0.0%,98.4%,3.1%,0.0%,0.0%
ESTRELLA FOOTHILLS GLOBAL ACADEMY,5400 W CARVER ROAD,LAVEEN,MARICOPA,85339,YES,LPN,PUBLIC,100,87.0%,6.0%,93.0%,87.0%,7.0%,94.0%,87.0%,7.0%,94.0%,92.0%,3.0%,95.0%,95.0%,3.0%,98.0%,4.0%,0.0%,3.0%
ESTRELLA MOUNTAIN ELEMENTARY SCHOOL,10301 S SAN MIGUEL,GOODYEAR,MARICOPA,85338,NO,,PUBLIC,41,85.4%,2.4%,100.0%,95.1%,2.4%,100.0%,87.8%,2.4%,100.0%,85.4%,2.4%,100.0%,97.6%,2.4%,100.0%,2.4%,0.0%,2.4%
ETHOS ACADEMY,8840 N. 43RD AVE,GLENDALE,MARICOPA,85302,NO,,CHARTER,24,87.5%,4.2%,91.7%,95.8%,4.2%,100.0%,70.8%,4.2%,75.0%,87.5%,4.2%,91.7%,91.7%,4.2%,95.8%,4.2%,0.0%,4.2%
EVA MARSHALL ELEMENTARY SCHOOL,850 N BONITO ST,FLAGSTAFF,COCONINO,86001,YES,RN,PUBLIC,56,92.9%,3.6%,98.2%,94.6%,3.6%,98.2%,94.6%,3.6%,98.2%,98.2%,1.8%,100.0%,96.4%,1.8%,100.0%,3.6%,1.8%,1.8%
EXCELENCIA SCHOOL,2181 E MCDOWELL RD,PHOENIX,MARICOPA,85006,YES,LPN,PUBLIC,54,92.6%,1.9%,100.0%,92.6%,1.9%,100.0%,94.4%,1.9%,100.0%,92.6%,1.9%,100.0%,98.1%,1.9%,100.0%,1.9%,0.0%,1.9%
FAITH COMMUNITY ACADEMY - 85741,2551 W ORANGE GROVE,TUCSON,PIMA,85741,NO,,PRIVATE,<20,64.3%,35.7%,100.0%,64.3%,35.7%,100.0%,64.3%,35.7%,100.0%,71.4%,28.6%,100.0%,71.4%,28.6%,100.0%,35.7%,0.0%,28.6%
FAITH MATHER SOSSAMAN ELEMENTARY,22801 E VIA DEL JARDIN,QUEEN CREEK,MARICOPA,85142,NO,,PUBLIC,142,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,93.0%,7.0%,100.0%,100.0%,0.0%,100.0%,6.3%,0.7%,6.3%
FALCON HILL ELEMENTARY SCHOOL,1645 N STERLING ST,MESA,MARICOPA,85207,YES,RN,PUBLIC,68,89.7%,10.3%,100.0%,91.2%,8.8%,100.0%,91.2%,8.8%,100.0%,92.6%,7.4%,100.0%,100.0%,0.0%,100.0%,8.8%,1.5%,7.4%
FAMILY LIFE ACADEMY,530 S PANTANO RD,TUCSON,PIMA,85710,NO,,PRIVATE,<20,89.5%,10.5%,100.0%,89.5%,10.5%,100.0%,89.5%,10.5%,100.0%,89.5%,10.5%,100.0%,89.5%,10.5%,100.0%,10.5%,0.0%,10.5%
FARAS ELEMENTARY SCHOOL,410 W FIR AVE,PIRTLEVILLE,COCHISE,85607,NO,,PUBLIC,21,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
FESTIVAL FOOTHILLS ELEMENTARY SCHOOL-85396,26252 W DESERT VISTA BLVD,BUCKEYE,MARICOPA,85396,NO,,PUBLIC,36,88.9%,11.1%,100.0%,88.9%,11.1%,100.0%,86.1%,11.1%,100.0%,86.1%,11.1%,100.0%,88.9%,11.1%,100.0%,11.1%,0.0%,2.8%
FIELD ELEMENTARY SCHOOL,2325 E ADOBE ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,57,96.5%,0.0%,98.2%,98.2%,0.0%,100.0%,96.5%,0.0%,98.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
FINLEY FARMS ELEMENTARY,375 S COLUMBUS DR,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,64,93.8%,4.7%,100.0%,95.3%,4.7%,100.0%,93.8%,6.3%,100.0%,95.3%,4.7%,100.0%,98.4%,1.6%,100.0%,6.3%,0.0%,3.1%
FIRESIDE ELEMENTARY SCHOOL,3725 E LONE CACTUS DR,PHOENIX,MARICOPA,85050,YES,RN,PUBLIC,88,92.0%,6.8%,98.9%,90.9%,8.0%,98.9%,89.8%,10.2%,100.0%,89.8%,10.2%,100.0%,93.2%,6.8%,100.0%,11.4%,1.1%,9.1%
FIRST BAPTIST CHRISTIAN ACADEMY,1447 S 7TH ST,SIERRA VISTA,COCHISE,85635,NO,,PRIVATE,26,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,92.3%,7.7%,100.0%,96.2%,3.8%,100.0%,11.5%,0.0%,3.8%
FLAGSTAFF CHRISTIAN SCHOOL,3500 N 4TH STREET,FLAGSTAFF,COCONINO,86004,NO,,PRIVATE,52,65.4%,34.6%,100.0%,65.4%,34.6%,100.0%,65.4%,34.6%,100.0%,78.8%,21.2%,100.0%,78.8%,21.2%,100.0%,34.6%,0.0%,21.2%
FLAGSTAFF JUNIOR ACADEMY ELEMENTARY CAMPUS,306 W CEDAR AVE,FLAGSTAFF,COCONINO,86001,NO,,PUBLIC,<20,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,5.9%,0.0%,0.0%
FLORA THEW ELEMENTARY SCHOOL,2130 E HOWE AVE,TEMPE,MARICOPA,85281,YES,RN,PUBLIC,66,93.9%,4.5%,100.0%,95.5%,4.5%,100.0%,92.4%,4.5%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,4.5%,0.0%,1.5%
FOOTHILLS ELEMENTARY SCHOOL-85306,15808 N 63RD AVE,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,51,86.3%,7.8%,94.1%,86.3%,7.8%,94.1%,88.2%,7.8%,96.1%,90.2%,7.8%,98.0%,92.2%,7.8%,100.0%,7.8%,0.0%,7.8%
FORD ELEMENTARY SCHOOL,8001 E STELLA RD,TUCSON,PIMA,85730,YES,LPN,PUBLIC,32,90.6%,3.1%,96.9%,93.8%,3.1%,96.9%,90.6%,3.1%,96.9%,100.0%,0.0%,100.0%,96.9%,3.1%,100.0%,3.1%,0.0%,3.1%
FORT MOHAVE ELEMENTARY SCHOOL,1760 JOY LN,FORT MOHAVE,MOHAVE,86426,YES,LPN,PUBLIC,94,93.6%,4.3%,97.9%,94.7%,4.3%,98.9%,89.4%,4.3%,93.6%,92.6%,4.3%,96.8%,92.6%,4.3%,96.8%,4.3%,0.0%,4.3%
FORT THOMAS ELEMENTARY SCHOOL,15560 W ELEMENTARY RD,FORT THOMAS,GRAHAM,85536,YES,RN,PUBLIC,22,90.9%,4.5%,100.0%,90.9%,4.5%,100.0%,95.5%,4.5%,100.0%,90.9%,4.5%,100.0%,95.5%,4.5%,100.0%,4.5%,0.0%,4.5%
FOUR PEAKS ELEMENTARY SCHOOL - N IDAHO RD,1755 N IDAHO RD,APACHE JUNCTION,PINAL,85119,YES,RN,PUBLIC,60,90.0%,8.3%,98.3%,90.0%,8.3%,98.3%,90.0%,8.3%,98.3%,93.3%,6.7%,100.0%,95.0%,5.0%,100.0%,8.3%,0.0%,5.0%
FOWLER ELEMENTARY SCHOOL,6707 W VAN BUREN ST,PHOENIX,MARICOPA,85043,YES,RN,PUBLIC,65,93.8%,1.5%,98.5%,93.8%,1.5%,98.5%,96.9%,1.5%,100.0%,96.9%,1.5%,98.5%,98.5%,1.5%,100.0%,1.5%,0.0%,0.0%
